timestamp,cpu_pct,ram_used_mb,ram_total_mb,ram_pct,disk_write_kb_s
2026-07-27 18:26:10,1,18407,32639,56.4,0
2026-07-27 18:26:16,0,18378,32639,56.3,0
2026-07-27 18:26:22,1,18367,32639,56.3,7839.3
2026-07-27 18:26:29,3,18365,32639,56.3,0
2026-07-27 18:26:35,6,18371,32639,56.3,0
2026-07-27 18:26:42,3,18341,32639,56.2,1446.3
2026-07-27 18:26:48,3,18346,32639,56.2,0
2026-07-27 18:26:55,8,18353,32639,56.2,0
2026-07-27 18:27:01,5,18327,32639,56.2,8356.3
2026-07-27 18:27:07,3,18359,32639,56.2,0
2026-07-27 18:27:14,3,18355,32639,56.2,0
2026-07-27 18:27:20,5,18340,32639,56.2,0
2026-07-27 18:27:27,3,18355,32639,56.2,76.3
2026-07-27 18:27:33,0,18357,32639,56.2,0
2026-07-27 18:27:40,5,18191,32639,55.7,0
2026-07-27 18:27:46,4,18197,32639,55.8,0
2026-07-27 18:27:52,6,18160,32639,55.6,0
2026-07-27 18:27:59,0,18162,32639,55.6,0
2026-07-27 18:28:05,10,18159,32639,55.6,0
2026-07-27 18:28:12,6,18165,32639,55.7,0
2026-07-27 18:28:18,12,18170,32639,55.7,0
2026-07-27 18:28:25,7,18170,32639,55.7,0
2026-07-27 18:28:31,10,18175,32639,55.7,0
2026-07-27 18:28:37,0,18164,32639,55.7,0
2026-07-27 18:28:44,2,18160,32639,55.6,0
2026-07-27 18:28:50,13,18171,32639,55.7,0
2026-07-27 18:28:57,4,18170,32639,55.7,107.2
2026-07-27 18:29:03,11,18176,32639,55.7,0
2026-07-27 18:29:09,7,18177,32639,55.7,153.7
2026-07-27 18:29:16,6,18179,32639,55.7,0
2026-07-27 18:29:22,7,18192,32639,55.7,0
2026-07-27 18:29:29,1,18195,32639,55.7,0
2026-07-27 18:29:35,3,18186,32639,55.7,0
2026-07-27 18:29:42,6,18147,32639,55.6,106.1
2026-07-27 18:29:48,3,18159,32639,55.6,0
2026-07-27 18:29:54,6,18157,32639,55.6,229.4
2026-07-27 18:30:01,7,18167,32639,55.7,0
2026-07-27 18:30:07,8,18168,32639,55.7,0
2026-07-27 18:30:14,13,18228,32639,55.8,0
2026-07-27 18:30:20,9,18360,32639,56.3,0
2026-07-27 18:30:27,3,18270,32639,56,121
2026-07-27 18:30:33,3,18243,32639,55.9,0
2026-07-27 18:30:39,4,18241,32639,55.9,46
2026-07-27 18:30:46,2,18255,32639,55.9,0
2026-07-27 18:30:52,6,18261,32639,55.9,0
2026-07-27 18:30:59,16,18238,32639,55.9,0
2026-07-27 18:31:05,2,18240,32639,55.9,0
2026-07-27 18:31:12,3,18256,32639,55.9,109.7
2026-07-27 18:31:18,6,18220,32639,55.8,0
2026-07-27 18:31:24,5,18227,32639,55.8,0
2026-07-27 18:31:31,7,18234,32639,55.9,0
2026-07-27 18:31:37,12,18232,32639,55.9,0
2026-07-27 18:31:44,12,18247,32639,55.9,0
2026-07-27 18:31:50,16,18248,32639,55.9,124.1
2026-07-27 18:31:57,9,18249,32639,55.9,135.5
2026-07-27 18:32:03,7,18265,32639,56,0
2026-07-27 18:32:09,3,18246,32639,55.9,0
2026-07-27 18:32:16,6,18222,32639,55.8,0
2026-07-27 18:32:22,11,18220,32639,55.8,0
2026-07-27 18:32:30,5,18253,32639,55.9,0
2026-07-27 18:32:36,4,18248,32639,55.9,0
2026-07-27 18:32:42,3,18260,32639,55.9,0
2026-07-27 18:32:49,6,18314,32639,56.1,0
2026-07-27 18:32:55,7,18276,32639,56,140.3
2026-07-27 18:33:02,5,18278,32639,56,0
2026-07-27 18:33:08,9,18268,32639,56,0
2026-07-27 18:33:14,3,18273,32639,56,0
2026-07-27 18:33:21,15,18288,32639,56,0
2026-07-27 18:33:27,6,18286,32639,56,0
2026-07-27 18:33:34,3,18287,32639,56,0
2026-07-27 18:33:40,7,18290,32639,56,15.6
2026-07-27 18:33:47,8,18284,32639,56,0
2026-07-27 18:33:53,7,18286,32639,56,0
2026-07-27 18:33:59,5,18268,32639,56,0
2026-07-27 18:34:06,6,18278,32639,56,0
2026-07-27 18:34:12,5,18281,32639,56,108.9
2026-07-27 18:34:19,6,18271,32639,56,0
2026-07-27 18:34:25,5,18280,32639,56,15.1
2026-07-27 18:34:32,6,18276,32639,56,121.4
2026-07-27 18:34:38,3,18284,32639,56,0
2026-07-27 18:34:44,6,18268,32639,56,0
2026-07-27 18:34:51,8,18268,32639,56,124.6
2026-07-27 18:34:57,8,18279,32639,56,0
2026-07-27 18:35:04,5,18279,32639,56,0
2026-07-27 18:35:10,9,18282,32639,56,154.3
2026-07-27 18:35:16,3,18286,32639,56,0
2026-07-27 18:35:23,6,18285,32639,56,0
2026-07-27 18:35:29,3,18321,32639,56.1,0
2026-07-27 18:35:36,9,18309,32639,56.1,0
2026-07-27 18:35:42,3,18310,32639,56.1,15.3
2026-07-27 18:35:49,7,18287,32639,56,0
2026-07-27 18:35:55,4,18311,32639,56.1,78.1
2026-07-27 18:36:01,9,18331,32639,56.2,0
2026-07-27 18:36:08,3,18331,32639,56.2,0
2026-07-27 18:36:14,3,18339,32639,56.2,15.2
2026-07-27 18:36:21,15,18323,32639,56.1,0
2026-07-27 18:36:27,6,18339,32639,56.2,338.4
2026-07-27 18:36:34,7,18324,32639,56.1,0
2026-07-27 18:36:40,3,18333,32639,56.2,0
2026-07-27 18:36:46,12,18344,32639,56.2,0
2026-07-27 18:36:53,1,18336,32639,56.2,0
2026-07-27 18:36:59,3,18297,32639,56.1,0
2026-07-27 18:37:06,12,18301,32639,56.1,0
2026-07-27 18:37:12,6,18313,32639,56.1,0
2026-07-27 18:37:18,3,18317,32639,56.1,0
2026-07-27 18:37:25,3,18319,32639,56.1,0
2026-07-27 18:37:31,6,18320,32639,56.1,0
2026-07-27 18:37:38,8,18321,32639,56.1,0
2026-07-27 18:37:44,1,18306,32639,56.1,0
2026-07-27 18:37:51,12,18294,32639,56,0
